umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,stress,botak_prob
49.0,Laki-laki,PNS,Padang,502.350.605.746.641,1.0,0,48.999.788.358.555.000,1.659.887.998.980.300,Pantone,1.0,S1,2.0,677.988.743.515.866
45.0,Laki-laki,Freelance,Banda Aceh,1.180.213.615.391.510,1.0,0,422.024.357.824.435,16.394.060.460.073.700,Shoulder & Head,1.0,SMP,6.0,5.324.201.297.951.320
37.0,Perempuan,Pegawai swasta,Semarang,3.764.137.208.738.630,1.0,0,53.718.070.544.581.200,14.954.992.310.813.500,Merpati,0.0,SD,10.0,40.651.124.397.497.900
26.0,Laki-laki,PNS,Banjarmasin,66.412.280.356.259.000,1.0,0,5.143.487.552.511.380,14.428.970.863.176.100,Shoulder & Head,1.0,S1,7.0,6.314.408.146.109.440
44.0,Laki-laki,Pegawai swasta,Palembang,7.965.436.586.754.810,1.0,1,47.499.982.131.119,1.680.524.857.519.210,Shoulder & Head,1.0,S2,4.0,7.022.011.896.754.410
50.0,Laki-laki,PNS,Mamuju,34.107.183.849.309.800,1.0,0,59.883.274.695.022.000,16.771.037.016.496.500,Pantone,1.0,S1,6.0,6.649.022.257.497.750
33.0,Perempuan,Pegawai swasta,Samarinda,21.567.059.559.623.600,1.0,0,6.562.670.642.200.080,,Merpati,0.0,S1,4.0,29.918.379.806.211.900
42.0,Laki-laki,PNS,Gorontalo,11.197.030.320.854.500,1.0,,50.650.337.056.006,1.563.263.216.888.860,Pantone,0.0,S1,8.0,6.098.785.302.600.240
30.0,Laki-laki,Freelance,Pekanbaru,10.078.564.332.922.700,1.0,0,5.335.480.293.610.150,166.602.861.142.143,Moonsilk,1.0,S1,9.0,
51.0,,Pegawai swasta,Banjarmasin,5.845.558.438.278.230,1.0,0,5.843.299.630.145.160,16.572.204.352.012.000,Moonsilk,0.0,S1,6.0,7.540.767.942.568.810
43.0,Perempuan,Freelance,Denpasar,6.947.086.191.647.630,1.0,0,5.735.248.653.673.160,15.586.798.811.512.300,Merpati,0.0,S1,,3.277.794.342.089.760
65.0,Laki-laki,Pengangguran,Manokwari,7.664.745.638.492.020,1.0,0,6.079.834.693.913.010,1.753.822.411.298.150,Merpati,0.0,S1,2.0,9.053.655.202.639.110
35.0,Laki-laki,Pegawai swasta,Gorontalo,904.618.222.491.637,1.0,0,5.713.304.118.142.570,16.049.902.430.126.800,Moonsilk,0.0,SMA,5.0,38.467.950.147.263.200
29.0,Laki-laki,Pegawai swasta,Palangkaraya,6.152.448.841.609.210,1.0,0,4.616.826.097.722.970,16.919.193.474.898.100,Shoulder & Head,0.0,S2,9.0,49.676.393.784.749.400
38.0,Laki-laki,Pegawai swasta,Serang,4.628.778.142.340.300,1.0,1,6.182.160.705.234.670,16.704.225.585.569.700,Moonsilk,0.0,S1,9.0,7.120.721.056.561.650
43.0,Laki-laki,Pegawai swasta,Serang,4.506.938.638.163.710,1.0,0,5.842.334.207.689.300,17.430.310.002.088.800,Moonsilk,1.0,S1,9.0,6.961.025.488.740.400
41.0,Laki-laki,Freelance,Jayapura,,1.0,1,836.355.216.707.411,1.648.315.993.946.490,Moonsilk,0.0,SMA,5.0,641.808.470.551.372
56.0,Perempuan,PNS,Bandung,5.072.317.544.294.400,1.0,0,46.377.454.583.316.900,17.275.929.786.078.600,Deadbuoy,1.0,SMA,3.0,7.165.008.162.326.790
45.0,Laki-laki,PNS,Kupang,40.410.149.183.883.100,1.0,0,5.208.589.947.926.720,17.692.422.490.231.600,Deadbuoy,1.0,S1,2.0,6.530.565.685.541.810
40.0,Perempuan,Pegawai swasta,Pekanbaru,2.793.387.210.524.870,1.0,1,5.323.916.791.815.090,17.418.554.851.069.000,Deadbuoy,0.0,SMA,6.0,43.302.299.834.184.000
32.0,Perempuan,PNS,Yogyakarta,1.129.294.647.396.950,1.0,0,4.260.313.898.041.460,16.646.418.930.244.200,Shoulder & Head,0.0,SMA,8.0,41.544.808.916.516.500
55.0,Laki-laki,Pegawai swasta,Palu,728.133.335.299.874,1.0,0,5.061.575.862.878.450,15.100.603.666.646.100,Deadbuoy,1.0,SMP,6.0,7.333.567.886.090.710
20.0,Laki-laki,PNS,Yogyakarta,55.311.007.580.959.600,1.0,0,5.436.954.563.718.110,15.673.254.931.049.200,Shoulder & Head,1.0,SMA,4.0,5.311.043.837.228.480
40.0,Laki-laki,Pegawai swasta,Palangkaraya,13.706.445.832.111.400,1.0,0,4.977.033.632.380.600,15.163.031.348.485.000,Deadbuoy,0.0,SMA,3.0,36.739.346.211.034.400
34.0,Laki-laki,Pegawai swasta,Yogyakarta,8.850.481.911.730.230,1.0,0,4.855.009.773.687.220,16.508.845.966.823.500,Moonsilk,0.0,S1,8.0,5.228.363.813.720.510
64.0,Perempuan,Pegawai swasta,Pontianak,522.134.978.597.866,1.0,1,6.303.680.088.656.270,1.676.209.027.841.800,Merpati,1.0,S1,6.0,852.581.258.308.306
49.0,Laki-laki,PNS,Samarinda,9.778.406.082.557.210,1.0,0,4.775.669.985.709.700,15.615.604.335.680.600,Shoulder & Head,1.0,S1,5.0,6.582.486.726.582.210
36.0,Laki-laki,PNS,Mataram,9.691.468.590.936.560,1.0,1,58.247.733.295.060.700,1.723.214.426.544.650,,0.0,SMP,4.0,7.181.746.781.414.210
47.0,Laki-laki,Pengangguran,Mamuju,24.494.064.435.270.600,1.0,0,57.807.071.118.046.500,16.795.233.921.754.000,Pantone,1.0,S1,7.0,9.828.282.084.254.870
41.0,Perempuan,PNS,Medan,3.644.271.917.344.830,1.0,0,54.825.324.425.730.600,1.644.115.674.535.840,Moonsilk,1.0,,8.0,6.664.262.381.743.180
36.0,Laki-laki,Pengangguran,Semarang,3.373.176.589.307.230,1.0,0,43.383.731.878.414.600,16.179.066.212.665.500,Merpati,0.0,S1,7.0,7.480.623.865.446.770
33.0,Laki-laki,Pegawai swasta,Semarang,19.653.692.931.869.000,1.0,0,660.336.628.872.573,17.314.505.421.196.300,Pantone,0.0,SMA,10.0,5.482.220.103.305.050
7.0,Laki-laki,Pegawai swasta,Samarinda,10.588.331.261.755.100,0.0,0,557.968.900.391.435,15.743.920.272.191.500,Pantone,0.0,S2,6.0,31.378.000.814.707.600
34.0,Perempuan,PNS,Pontianak,6.673.028.331.675.500,1.0,1,6.496.108.021.722.860,17.463.803.352.000.000,Pantone,0.0,S1,4.0,5.455.941.410.447.790
40.0,Perempuan,Pegawai swasta,Ambon,8.890.011.770.291.770,1.0,0,8.836.486.417.895.740,19.192.261.588.950.900,Merpati,0.0,S1,8.0,4.512.080.704.455.890
46.0,Perempuan,PNS,Manokwari,4.344.114.904.396.740,1.0,0,5.022.386.599.044.820,15.194.623.977.751.900,Shoulder & Head,1.0,S1,10.0,7.722.153.484.775.730
26.0,Laki-laki,Pegawai swasta,Yogyakarta,8.974.681.934.329.160,1.0,0,5.733.990.628.958.270,16.143.927.127.794.100,Pantone,1.0,SMA,1.0,41.140.860.766.783.100
23.0,Perempuan,PNS,Manado,4.895.793.922.980.690,1.0,0,43.522.076.597.785.900,15.148.135.316.683.800,Moonsilk,0.0,S2,8.0,4.750.197.350.858.850
37.0,Laki-laki,PNS,Ambon,12.976.092.883.659.500,1.0,0,5.071.561.775.026.870,16.558.520.329.588.100,Deadbuoy,0.0,S1,9.0,5.582.541.628.877.860
32.0,Laki-laki,PNS,Kupang,1.678.887.557.009.820,1.0,0,58.152.625.136.415.500,1.588.401.585.791.190,Moonsilk,1.0,SMA,10.0,7.351.661.046.756.750
50.0,Laki-laki,PNS,Makassar,32.369.343.986.401.000,1.0,1,6.136.524.442.424.070,16.185.285.817.427.900,Shoulder & Head,0.0,S1,1.0,7.131.750.256.628.790
50.0,Perempuan,PNS,Mamuju,5.722.414.434.024.480,1.0,0,6.103.061.950.141.170,15.649.610.595.449.700,Shoulder & Head,1.0,S3,9.0,6.608.765.032.786.140
35.0,Laki-laki,Pegawai swasta,Bengkulu,21.410.575.322.627.200,1.0,0,57.686.436.495.142.700,16.882.940.223.113.900,Pantone,0.0,S2,8.0,42.786.521.337.320.400
35.0,Perempuan,Pegawai swasta,Banda Lampung,10.165.715.657.955.900,1.0,,63.711.938.046.472.400,1.756.354.257.587.290,Deadbuoy,0.0,S1,2.0,3.871.881.338.673.900
11.0,Laki-laki,Pengangguran,Sofifi,5.150.021.806.633.870,0.0,1,7.345.699.914.542.040,18.194.006.240.101.500,Merpati,0.0,S1,4.0,7.805.189.397.300.810
37.0,Laki-laki,Pegawai swasta,Banjarmasin,6.258.261.047.584.350,1.0,1,5.290.110.931.463.310,16.489.286.364.335.600,Deadbuoy,0.0,S1,2.0,49.911.566.403.138.100
19.0,Perempuan,Pegawai swasta,Semarang,25.327.614.042.896.600,0.0,0,6.235.532.476.108.700,18.316.413.351.563.200,Shoulder & Head,1.0,SMP,7.0,3.229.600.201.633.570
67.0,Laki-laki,PNS,Tanjungselor,61.008.113.673.443.500,1.0,1,5.272.060.408.336.150,15.553.528.275.727.100,Deadbuoy,1.0,S2,9.0,1.0
38.0,Laki-laki,Pegawai swasta,Kendari,7.531.995.359.715.260,1.0,0,4.806.380.477.223.270,17.035.342.706.058.000,Pantone,0.0,S1,10.0,44.906.883.026.437.200
36.0,Perempuan,PNS,Samarinda,8.033.247.427.300.020,1.0,1,6.777.717.896.797.600,1.552.120.611.976.830,Pantone,1.0,S1,1.0,6.169.378.204.536.040
31.0,Laki-laki,PNS,Bandung,10.174.208.090.405.200,1.0,0,42.555.711.689.550.600,15.403.599.752.255.100,Merpati,1.0,S1,5.0,6.501.650.795.381.320
42.0,Laki-laki,Pegawai swasta,Serang,18.711.903.074.096.800,1.0,,5.366.395.513.927.370,17.112.390.800.352.100,Merpati,1.0,S1,6.0,6.473.550.394.907.490
28.0,Perempuan,PNS,Kupang,1.180.469.791.689.960,1.0,1,6.986.340.976.521.430,20.111.251.144.818.000,Moonsilk,0.0,SD,3.0,6.440.891.472.208.170
33.0,Perempuan,Freelance,Yogyakarta,5.275.898.065.366.780,1.0,0,4.623.386.555.357.330,1.551.091.228.007.550,Merpati,1.0,S2,2.0,24.048.513.570.585.700
40.0,Perempuan,Pengangguran,Ambon,4.664.583.610.718.890,1.0,1,4.937.954.326.286.510,1.594.603.849.454.680,Shoulder & Head,0.0,S1,3.0,8.150.903.662.192.240
54.0,Laki-laki,Pegawai swasta,Pontianak,7.608.441.667.544.210,1.0,0,57.524.120.217.773.100,16.255.318.450.159.500,Deadbuoy,1.0,,7.0,7.627.898.438.460.250
29.0,Laki-laki,PNS,Kendari,9.191.312.677.749.530,1.0,1,52.812.025.893.634.100,16.978.397.418.462.600,Pantone,1.0,SMA,5.0,7.997.366.162.512.990
39.0,Laki-laki,Pegawai swasta,Banda Lampung,5.148.441.885.380.930,1.0,0,5.696.409.773.297.170,17.790.871.731.835.200,Merpati,0.0,SMA,4.0,42.441.417.358.610.200
36.0,Laki-laki,PNS,Semarang,5.517.407.729.398.780,1.0,0,4.574.354.268.079.750,18.066.500.402.140.500,Pantone,0.0,SMA,2.0,43.131.131.775.547.200
46.0,Laki-laki,Pegawai swasta,Serang,14.245.910.640.576.300,1.0,0,55.252.197.825.142.900,16.598.598.367.013.600,Deadbuoy,0.0,S1,6.0,4.851.406.463.555.130
47.0,Perempuan,Freelance,,8.331.080.229.507.050,1.0,0,50.465.334.700.451.100,16.081.012.355.650.800,Merpati,0.0,SMA,1.0,23.099.014.803.660.600
20.0,Perempuan,Pegawai swasta,Semarang,10.348.093.876.996.300,1.0,0,57.869.705.965.252.900,170.384.787.436.414,Deadbuoy,1.0,S1,6.0,4.291.846.867.281.220
49.0,Perempuan,Pegawai swasta,Jayapura,10.352.162.297.608.900,1.0,1,4.878.018.476.484.150,1.495.479.025.632.410,Shoulder & Head,0.0,SMA,5.0,6.144.789.300.414.200
48.0,Laki-laki,Pegawai swasta,Pontianak,30.285.831.785.100.800,1.0,0,6.608.951.076.969.020,17.530.029.300.508.500,Merpati,0.0,S3,8.0,4.961.886.264.481.540
38.0,Perempuan,PNS,Padang,1.208.525.073.454.960,1.0,1,6.401.364.373.576.670,17.623.362.801.076.300,Deadbuoy,0.0,S1,6.0,6.580.971.814.733.510
41.0,Laki-laki,Pegawai swasta,Sofifi,7.620.028.920.405.470,1.0,0,60.869.352.589.173.600,16.202.567.182.449.600,Deadbuoy,0.0,,10.0,6.385.719.528.292.000
34.0,Laki-laki,PNS,Pangkalpinang,5.066.252.668.088.110,1.0,0,4.451.988.168.129.410,16.147.898.598.743.800,Merpati,0.0,SMA,1.0,4.490.590.526.606.660
30.0,Laki-laki,PNS,Mamuju,73.465.450.325.364.000,1.0,0,43.182.369.611.041.700,16.868.403.667.853.700,Moonsilk,0.0,SMA,5.0,5.464.775.600.376.290
26.0,Perempuan,Pegawai swasta,Sofifi,6.427.802.314.742.990,1.0,0,62.399.790.438.877.500,17.681.428.267.812.700,Deadbuoy,0.0,S1,6.0,44.406.945.165.982.200
49.0,Perempuan,PNS,Tanjungselor,10.870.033.189.361.100,1.0,1,5.089.798.377.415.570,17.638.362.762.406.400,Deadbuoy,0.0,S1,8.0,8.076.805.988.108.380
44.0,Laki-laki,Pengangguran,Tanjung Pinang,10.665.621.383.544.300,1.0,0,47.988.364.888.036.400,174.508.117.657.406,Moonsilk,1.0,S1,1.0,8.955.334.897.223.070
51.0,Perempuan,PNS,Serang,11.707.450.050.652.800,1.0,0,4.875.951.094.537.180,17.218.889.059.750.200,Shoulder & Head,1.0,S1,4.0,6.212.258.143.368.950
34.0,Laki-laki,Pegawai swasta,Manado,1.043.308.387.944.730,1.0,0,4.675.941.722.484.190,16.286.836.300.030.400,Shoulder & Head,0.0,SMA,4.0,36.491.758.313.131.300
34.0,Laki-laki,PNS,Serang,7.212.539.969.591.890,1.0,0,52.714.039.267.212.200,17.375.984.603.920.700,Pantone,1.0,SMA,10.0,7.502.057.520.176.340
40.0,Perempuan,Pegawai swasta,Pekanbaru,10.077.323.285.718.100,1.0,1,4.824.746.332.683.940,15.182.565.741.371.600,Merpati,1.0,S1,4.0,5.957.637.035.047.420
41.0,Perempuan,Pegawai swasta,Kendari,35.427.294.249.041.200,1.0,0,5.068.242.449.759.240,17.216.249.636.603.800,Moonsilk,1.0,SMA,,5.113.755.666.055.740
27.0,Laki-laki,Pegawai swasta,Palembang,4.839.840.158.584.070,1.0,0,49.375.574.582.253.700,15.100.557.311.305.300,Shoulder & Head,1.0,S1,2.0,47.435.669.466.743.000
,Laki-laki,Pegawai swasta,Yogyakarta,6.491.602.062.353.640,1.0,0,54.020.103.803.044.900,15.648.309.617.568.100,Pantone,1.0,SMA,7.0,6.568.716.960.878.920
18.0,Laki-laki,Freelance,Palangkaraya,1.250.058.586.945.440,0.0,0,51.288.935.814.735.800,15.276.213.645.715.400,Moonsilk,0.0,S1,5.0,29.394.003.690.875.900
35.0,Laki-laki,Pegawai swasta,Tanjung Pinang,14.377.961.119.799.500,1.0,0,5.723.458.760.608.510,1.643.825.673.507.350,Deadbuoy,1.0,S1,5.0,5.271.663.705.503.310
28.0,Perempuan,Pegawai swasta,Sofifi,1.437.663.303.359.030,1.0,0,4.740.203.841.671.030,17.252.470.093.443.200,Merpati,0.0,S1,3.0,2.820.007.536.179.180
36.0,Laki-laki,PNS,Tanjungselor,11.744.235.241.967.100,1.0,1,4.505.323.306.135.710,14.975.030.087.964.800,,1.0,SMA,2.0,7.555.313.925.741.130
37.0,Perempuan,Freelance,Yogyakarta,11.316.607.815.713.600,,0,5.039.835.562.286.160,16.889.591.840.411.400,Moonsilk,1.0,SMA,6.0,2.914.575.251.894.580
52.0,Laki-laki,Pegawai swasta,Padang,1.698.274.890.191.590,1.0,1,6.132.713.421.958.980,16.352.057.739.862.500,Pantone,0.0,S1,2.0,7.744.761.044.499.910
21.0,Laki-laki,Pegawai swasta,Denpasar,6.786.746.650.119.320,1.0,1,42.040.589.400.849.300,16.055.701.299.586.600,Deadbuoy,0.0,S1,7.0,5.906.173.520.231.460
24.0,Perempuan,PNS,Mamuju,8.604.426.365.761.510,1.0,0,5.920.078.178.268.400,18.672.170.141.822.700,Deadbuoy,,S1,2.0,29.395.998.593.785.700
52.0,Laki-laki,PNS,Manado,11.700.122.596.337.400,1.0,0,557.827.054.266.849,16.401.648.874.858.500,Moonsilk,1.0,SMA,7.0,8.072.340.989.802.890
44.0,Laki-laki,Freelance,Bandung,8.133.266.393.603.390,1.0,0,5.912.615.970.540.970,15.361.299.705.618.000,Pantone,1.0,S1,3.0,4.079.851.253.106.920
46.0,Perempuan,PNS,Bengkulu,8.199.090.749.152.340,1.0,0,4.722.941.535.872.060,16.933.646.164.036.700,Merpati,1.0,SMA,6.0,574.965.523.538.148
28.0,Laki-laki,Pegawai swasta,Banda Aceh,,1.0,0,6.588.226.517.582.090,15.329.834.745.117.000,Moonsilk,1.0,S1,2.0,45.428.239.629.591.800
41.0,Laki-laki,Pegawai swasta,Palangkaraya,10.531.634.546.808.300,,0,4.819.934.397.659.140,1.565.124.300.139.590,Moonsilk,1.0,S1,4.0,5.658.701.917.424.440
38.0,Laki-laki,Pegawai swasta,Mataram,6.750.997.728.378.860,1.0,0,5.546.991.841.592.060,16.779.894.933.271.200,Shoulder & Head,1.0,SMA,2.0,5.062.784.272.589.180
32.0,Perempuan,Pegawai swasta,Denpasar,6.392.744.039.433.420,1.0,0,59.144.831.707.283.500,18.010.145.678.596.100,Shoulder & Head,1.0,SMP,2.0,2.756.909.428.983.580
36.0,Perempuan,PNS,Bengkulu,11.813.907.029.042.400,1.0,0,4.381.021.946.476.070,16.325.157.409.532.400,Shoulder & Head,0.0,SMA,1.0,3.419.983.383.882.150
57.0,Perempuan,Pegawai swasta,Samarinda,5.829.256.019.847.160,1.0,0,5.669.598.865.890.110,1.697.107.306.600.020,Merpati,0.0,SMP,6.0,51.245.206.361.039
53.0,Laki-laki,PNS,Denpasar,7.409.044.111.205.270,1.0,0,5.741.174.092.724.840,174.066.274.850.147,Shoulder & Head,0.0,S1,2.0,6.956.419.463.220.720
51.0,Laki-laki,PNS,Palu,10.675.645.859.100.300,1.0,0,6.693.178.834.212.840,1.713.351.149.340.580,Moonsilk,0.0,S1,7.0,7.429.229.363.424.800
41.0,Perempuan,PNS,Yogyakarta,8.482.756.688.182.150,1.0,0,5.733.776.785.350.240,17.857.899.839.382.500,Pantone,1.0,S1,1.0,5.307.087.379.180.170
52.0,Perempuan,Freelance,Gorontalo,9.898.185.604.971.980,1.0,1,61.900.993.080.993.500,16.674.063.674.577.700,Merpati,0.0,SMP,6.0,5.855.794.489.414.760
35.0,Laki-laki,Freelance,Gorontalo,9.580.621.651.802.330,1.0,0,53.011.492.907.566.600,15.473.124.287.237.000,Deadbuoy,1.0,S2,4.0,36.135.144.652.908.500
27.0,Laki-laki,Pegawai swasta,Samarinda,9.326.973.950.025,1.0,0,5.964.802.354.418.470,17.651.654.427.050.800,Shoulder & Head,0.0,S1,3.0,38.738.309.127.420.300
49.0,Perempuan,PNS,Manokwari,5.441.389.425.570.590,1.0,0,6.020.985.826.861.920,16.864.431.160.843.300,Moonsilk,1.0,SMA,2.0,5.215.388.871.547.460
32.0,Laki-laki,Freelance,Semarang,11.173.501.385.671.200,1.0,0,5.354.300.427.389.250,1.690.912.620.393.700,Moonsilk,1.0,S1,7.0,4.128.599.735.529.060
52.0,Laki-laki,Pegawai swasta,Banda Aceh,4.591.353.661.074.190,1.0,0,,1.606.398.299.058.950,Merpati,1.0,S1,9.0,7.547.839.286.652.150
35.0,Laki-laki,Pegawai swasta,Serang,6.570.901.040.874.180,1.0,0,54.514.346.069.950.600,17.508.164.017.005.300,Shoulder & Head,1.0,SMA,6.0,48.622.343.617.686.600
35.0,Laki-laki,Freelance,Palangkaraya,19.004.131.794.087.300,1.0,1,5.475.362.046.065.890,18.059.001.140.591.900,Pantone,0.0,S1,5.0,4.207.173.947.704.050
25.0,Laki-laki,Pegawai swasta,Kendari,71.860.344.762.275.500,1.0,0,5.016.003.593.609.980,1.682.726.931.302.790,,0.0,S1,1.0,23.627.487.488.098.000
39.0,Laki-laki,PNS,Palu,600.109.123.148.174,1.0,0,4.534.180.045.975.100,17.358.620.403.681.500,Shoulder & Head,1.0,S1,2.0,48.677.254.233.007.300
56.0,Laki-laki,PNS,Semarang,1.292.216.173.965.140,1.0,0,4.591.202.121.027.210,15.681.571.977.598.600,Moonsilk,0.0,S1,8.0,7.990.188.334.617.810
51.0,Laki-laki,Pegawai swasta,Medan,8.943.416.140.088.430,1.0,1,7.780.461.288.936.010,17.934.179.825.838.500,Merpati,1.0,S1,3.0,8.367.098.785.440.080
20.0,Perempuan,Freelance,Palu,14.924.608.358.564.700,1.0,0,6.601.724.004.810.580,18.325.000.378.834.000,Moonsilk,0.0,SMP,9.0,28.850.224.544.129.800
35.0,Perempuan,PNS,Samarinda,8.721.862.185.701.350,1.0,0,63.258.220.115.380.300,1.603.824.883.050.640,Shoulder & Head,1.0,,5.0,4.193.466.054.165.620
28.0,Laki-laki,PNS,Jambi,13.157.990.542.781.200,1.0,0,4.670.184.923.883.070,1.699.587.420.417.010,Deadbuoy,1.0,SMA,9.0,685.686.489.756.458
33.0,Laki-laki,PNS,Gorontalo,8.238.432.732.816.060,1.0,0,4.110.680.774.848.650,170.066.406.694.774,Merpati,1.0,SMP,3.0,49.808.400.311.762.900
44.0,Laki-laki,Freelance,Medan,12.261.911.941.941.900,1.0,0,5.433.469.928.539.210,14.791.696.980.381.200,Moonsilk,0.0,SMA,3.0,3.667.767.664.012.510
35.0,Laki-laki,Pegawai swasta,Jambi,871.519.981.128.004,1.0,0,52.796.265.177.816.300,17.537.425.010.180.500,Moonsilk,0.0,S1,3.0,3.790.993.095.267.610
37.0,Perempuan,Pegawai swasta,Pangkalpinang,14.463.660.785.725.300,1.0,0,6.040.246.136.461.090,16.985.441.162.233.100,Moonsilk,0.0,S1,7.0,42.216.256.314.263.300
52.0,Laki-laki,Pegawai swasta,Mamuju,4.668.501.933.264.360,1.0,1,4.700.816.213.147.790,1.725.397.129.141.960,Deadbuoy,1.0,S1,4.0,8.868.808.029.037.640
51.0,Laki-laki,PNS,Sofifi,3.585.954.347.768.630,1.0,0,5.169.425.559.195.050,16.976.492.244.137.600,Merpati,1.0,S1,9.0,8.847.875.968.822.970
30.0,Laki-laki,Freelance,Banda Aceh,7.317.624.046.189.170,1.0,0,43.187.901.760.353.600,15.795.984.934.296.800,Pantone,0.0,SMP,2.0,1.519.635.018.569.810
46.0,Perempuan,Pegawai swasta,Mamuju,11.009.459.894.711.100,1.0,0,5.984.004.194.318.510,17.207.297.522.144.500,Merpati,1.0,SD,10.0,5.843.142.063.446.610
60.0,Laki-laki,Pegawai swasta,Kupang,335.170.308.694.814,1.0,0,6.862.726.374.398.690,16.403.144.356.494.900,Deadbuoy,0.0,SMA,1.0,5.533.649.795.761.960
38.0,Laki-laki,PNS,Banda Aceh,5.765.456.918.289.300,1.0,,4.855.566.503.053.930,16.656.176.373.381.000,Merpati,1.0,S1,5.0,6.657.481.058.018.810
38.0,Laki-laki,PNS,Mamuju,9.837.078.302.284.610,1.0,0,48.752.320.400.141.900,16.062.304.730.341.400,Deadbuoy,1.0,S1,,6.165.530.497.385.170
39.0,Perempuan,PNS,Medan,6.325.235.422.516.700,1.0,1,4.634.789.137.146.650,17.024.689.468.195.400,Merpati,0.0,SMP,1.0,5.327.444.778.585.210
42.0,Perempuan,PNS,Jakarta,14.427.143.612.261.900,1.0,1,4.648.283.527.003.840,15.256.258.915.142.600,Deadbuoy,1.0,S1,4.0,9.264.327.350.071.850
35.0,Laki-laki,Freelance,Tanjung Pinang,177.576.613.092.518,1.0,0,,15.681.187.816.434.600,Moonsilk,1.0,SMA,9.0,4.275.358.600.014.770
37.0,Laki-laki,PNS,Manado,9.229.219.730.379.920,1.0,0,484.638.723.332.354,14.728.199.585.277.900,Shoulder & Head,0.0,S1,2.0,4.336.902.243.178.940
41.0,Laki-laki,Pegawai swasta,Banda Aceh,8.164.279.942.234.970,1.0,0,547.296.558.231.515,1.688.453.044.517.110,Shoulder & Head,0.0,S1,1.0,43.939.464.644.561.200
40.0,Laki-laki,Pegawai swasta,Palembang,56.078.765.538.013.700,1.0,0,6.658.330.582.752.860,,Deadbuoy,0.0,S1,9.0,5.176.907.936.411.940
49.0,Perempuan,Pegawai swasta,,6.399.326.644.406.050,1.0,1,5.496.591.866.622.110,17.406.104.159.072.900,Moonsilk,1.0,S3,4.0,6.017.686.996.450.190
34.0,Laki-laki,Pegawai swasta,Kupang,4.228.945.210.070.370,1.0,0,5.892.657.061.606.180,17.515.726.544.980.400,Shoulder & Head,0.0,S1,8.0,5.187.714.308.665.260
36.0,Perempuan,Pegawai swasta,Palangkaraya,11.258.665.697.025.900,1.0,0,56.145.348.053.390.900,1.814.527.979.527.430,Deadbuoy,1.0,S1,6.0,44.012.588.643.957.900
22.0,Perempuan,Pegawai swasta,Sofifi,11.184.661.241.788.100,1.0,0,4.764.979.460.034.980,15.993.355.248.036.700,Shoulder & Head,0.0,S1,5.0,2.943.638.900.458.800
35.0,Perempuan,Pegawai swasta,Medan,14.545.612.586.037.000,1.0,1,5.033.185.539.879.190,15.287.614.964.967.300,Merpati,1.0,SMA,9.0,6.522.426.166.659.970
29.0,Perempuan,PNS,Denpasar,11.273.815.248.303.400,1.0,1,4.568.894.793.558.750,1.410.651.607.320.020,Shoulder & Head,1.0,S2,8.0,8.004.777.688.175.520
33.0,Laki-laki,Pegawai swasta,Tanjung Pinang,,1.0,,5.371.626.202.024.730,17.303.626.399.742.300,Merpati,1.0,S1,8.0,6.026.038.804.628.670
48.0,Laki-laki,PNS,Kupang,5.223.958.923.288.710,1.0,0,6.525.145.717.700.660,16.240.895.272.136.300,Merpati,,SMA,7.0,6.015.363.381.544.700
30.0,Laki-laki,Freelance,Tanjungselor,5.059.659.843.212.200,1.0,0,537.198.979.337.393,17.157.829.028.012.100,Merpati,0.0,S2,8.0,30.000.078.960.511.700
50.0,Laki-laki,Pegawai swasta,Surabaya,6.210.821.959.786.580,1.0,0,4.649.283.816.033.210,1.771.131.283.617.160,Deadbuoy,0.0,S1,3.0,5.128.241.414.625.300
31.0,Perempuan,Freelance,Palembang,8.213.694.723.432.070,1.0,0,48.928.455.238.553.300,17.692.995.878.145.400,Pantone,1.0,SMP,6.0,318.028.005.671.455
31.0,Laki-laki,PNS,Jakarta,16.052.166.460.770.200,1.0,0,5.529.229.793.164.520,17.598.447.655.699.600,Merpati,0.0,SMP,5.0,5.360.431.930.096.500
34.0,Laki-laki,PNS,Semarang,12.531.036.870.177.900,1.0,1,55.109.313.839.755.500,16.649.532.498.286.700,Shoulder & Head,1.0,S1,3.0,8.858.524.733.011.450
40.0,Laki-laki,Pegawai swasta,Jambi,9.262.391.817.606.710,1.0,0,538.695.366.950.426,1.780.803.359.824.810,Moonsilk,1.0,SMA,8.0,6.536.945.790.023.990
52.0,Perempuan,PNS,Pontianak,9.295.881.149.395.840,1.0,0,5.005.605.134.535.130,16.759.082.332.625.200,Pantone,1.0,S1,2.0,6.962.817.983.243.340
41.0,Laki-laki,PNS,Medan,6.529.119.590.258.550,1.0,0,6.775.026.804.431.460,15.764.111.222.932.000,Pantone,0.0,S1,3.0,5.163.166.146.645.670
23.0,Perempuan,Pegawai swasta,Palangkaraya,12.381.563.358.693.600,1.0,0,5.628.152.455.116.680,1.570.154.997.522.380,Shoulder & Head,0.0,SMA,9.0,3.612.686.611.245.960
36.0,Laki-laki,Freelance,Samarinda,14.255.700.397.907.200,1.0,0,47.270.780.600.647.400,14.975.050.399.663.800,Pantone,1.0,S2,8.0,5.325.201.752.568.910
